nome;is_person;role_detail;role_group;numero_episodio;dubbing_type
VITO ANZALONE;TRUE;ARREDAMENTO;Set Decorators;8 1-2;
ORIETTA NASALLI ROCCA;TRUE;ASS. COSTUMI;Costume and Wardrobe Department;8 1-2;
LUCIANO RICCERI;TRUE;ASS. SCENOGRAFO;Art Department;8 1-2;
PASQUALE DE SANTIS;TRUE;OPERATORE;Camera and Electrical Department;8 1-2;
OTELLO FAVA;TRUE;CAPO TRUCCO;Makeup Department;8 1-2;
RENATA MAGNANTI;TRUE;PARRUCCHIERA;Makeup Department;8 1-2;
CLARA POGGI;TRUE;CAPO SARTA;Costume and Wardrobe Department;8 1-2;
MARIO FARAONI;TRUE;FONICI;Sound Department;8 1-2;
ALBERTO BARTOLOMEI;TRUE;FONICI;Sound Department;8 1-2;
DUPONT;FALSE;NEGATIVI;Miscellaneous Companies;8 1-2;
ISTITUTO NAZIONALE LUCE;FALSE;SVILUPPO E STAMPA;Miscellaneous Companies;8 1-2;
ENZO VERZINI;TRUE;TECNICO;Additional Crew;8 1-2;
Titanus;FALSE;PRODUZIONE ESEGUITA NEGLI STABILIMENTI;Production Companies;8 1-2;
CORINTH FILMS;FALSE;;Production Companies;8 1-2;
CINERIZ;FALSE;UNA PRODUZIONE;Production Companies;8 1-2;
THE CRITERION COLLECTION;FALSE;;Distributors;8 1-2;
JANUS FILMS;FALSE;;Production Companies;8 1-2;
ANGELO RIZZOLI;TRUE;PRESENTA;Producers;8 1-2;
FEDERICO FELLINI;TRUE;DI;Directors;8 1-2;
FRANCIS FORD COPPOLA;TRUE;Directed by;Directors;Apocalypse Now;
FRANCIS FORD COPPOLA;TRUE;Produced by;Producers;Apocalypse Now;
JOHN MILIUS;TRUE;Written by;Writers;Apocalypse Now;
FRANCIS FORD COPPOLA;TRUE;Written by;Writers;Apocalypse Now;
MICHAEL HERR;TRUE;Narration by;Writers;Apocalypse Now;
MARLON BRANDO;TRUE;;Cast;Apocalypse Now;
ROBERT DUVALL;TRUE;;Cast;Apocalypse Now;
MARTIN SHEEN;TRUE;;Cast;Apocalypse Now;
MIRAMAX FILMS;FALSE;A Miramax Films Release;Distributors;Apocalypse Now;
