nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
AL KAMINSKY;TRUE;Transportation Coordinator;Transportation Department;Se7en;nm0436741;Alan Kaminsky;M;nm0436741;Alan Kaminsky;M;nm0436741;Alan Kaminsky;M;;AL KAMINSKY;X;;AL KAMINSKY;X;;AL KAMINSKY;X;;AL KAMINSKY;X;;
AL STROBEL;TRUE;One-Armed Man;Cast;Twin Peaks S01E03;nm0834689;Al Strobel;A;nm0834689;Al Strobel;A;nm0834689;Al Strobel;A;nm0834689;Al Strobel;A;nm0834689;Al Strobel;A;nm0834689;Al Strobel;A;nm0834689;Al Strobel;A;;
ALAD SAFDEYE;TRUE;Laborers;Art Department;Se7en;nm0755818;Alad Safdeye;A;nm0755818;Alad Safdeye;A;nm0755818;Alad Safdeye;A;nm0755818;Alad Safdeye;A;nm0755818;Alad Safdeye;A;nm0755818;Alad Safdeye;A;nm0755818;Alad Safdeye;A;;
Alain BLOCH;TRUE;Producteur Exécutif;Producers;Maigret S03E01;nm0088593;Alain Bloch;A;nm0088593;Alain Bloch;A;nm0088593;Alain Bloch;A;nm0088593;Alain Bloch;A;nm0088593;Alain Bloch;A;nm0088593;Alain Bloch;A;nm0088593;Alain Bloch;A;;
ALAIN CARSOUX;TRUE;Trucages numÃ©riques;Visual Effects;Amelie;nm0141347;Alain Carsoux;A;nm0141347;Alain Carsoux;A;nm0141347;Alain Carsoux;A;nm0141347;Alain Carsoux;A;nm0141347;Alain Carsoux;A;nm0141347;Alain Carsoux;A;nm0141347;Alain Carsoux;A;;
Alain CHEVAILLAZ;TRUE;Electriciens;Camera and Electrical Department;Maigret S03E01;nm0154431;Alain Chavaillaz;M;nm0154431;Alain Chavaillaz;M;nm0154431;Alain Chavaillaz;M;nm0154431;Alain Chavaillaz;M;;Alain CHEVAILLAZ;X;;Alain CHEVAILLAZ;X;;Alain CHEVAILLAZ;X;;
Alain Floret;TRUE;le mari de la concierge;Cast;Amelie;nm0282979;Alain Floret;A;nm0282979;Alain Floret;A;nm0282979;Alain Floret;A;nm0282979;Alain Floret;A;nm0282979;Alain Floret;A;nm0282979;Alain Floret;A;nm0282979;Alain Floret;A;;
Alain Guais;TRUE;Chef constructeur;Art Department;Amelie;nm0345206;Alain Guais;A;nm0345206;Alain Guais;A;nm0345206;Alain Guais;A;nm0345206;Alain Guais;A;nm0345206;Alain Guais;A;nm0345206;Alain Guais;A;nm0345206;Alain Guais;A;;
Alain Hardel;TRUE;Relations publiques;Publicity;Maigret S03E01;nm0362076;Alain Hardel;A;nm0362076;Alain Hardel;A;nm0362076;Alain Hardel;A;nm0362076;Alain Hardel;A;nm0362076;Alain Hardel;A;nm0362076;Alain Hardel;A;nm0362076;Alain Hardel;A;;
ALAIN MOUGENOT;TRUE;RÃ©gie;Production Managers;Amelie;nm0609654;Alain Mougenot;A;nm0609654;Alain Mougenot;A;nm0609654;Alain Mougenot;A;nm0609654;Alain Mougenot;A;nm0609654;Alain Mougenot;A;nm0609654;Alain Mougenot;A;nm0609654;Alain Mougenot;A;;
